order_num,tracking_num,pck_recieved_date,package_deliver_date,status,address,last_update_timestamp
1017,TRK1017,2023-01-04,2023-01-06,XyZ,202 Birch Rd,2023-01-04 16:17:26
1018,TRK1018,2023-01-04,2023-01-07,Returned,101 Maple Ave,2023-01-04 00:32:10
1019,TRK1019,2023-01-04,2023-01-07,Delivered,123 Elm St,2023-01-04 14:00:58
1020,TRK1020,2023-01-04,2023-01-07,Delivered,123 Elm St,2023-01-04 14:32:45
1021,TRK1021,2023-01-04,2023-01-07,Returned,456 Oak St,2023-01-04 14:45:59
1022,TRK1022,2023-01-04,2023-01-05,In Transit,101 Maple Ave,2023-01-04 09:54:55
1000,TRK1000,2023-01-05,2023-01-10,Out for Delivery,202 Birch Rd,2023-01-05 05:05:58
1001,TRK1001,2023-01-05,2023-01-07,Returned,101 Maple Ave,2023-01-05 23:10:34
1002,TRK1002,2023-01-05,2023-01-10,Out for Delivery,456 Oak St,2023-01-05 14:00:13
1003,TRK1003,2023-01-05,2023-01-10,Out for Delivery,202 Birch Rd,2023-01-05 02:56:01
1004,TRK1004,2023-01-05,2023-01-08,Returned,456 Oak St,2023-01-05 02:14:51
1005,TRK1005,2023-01-05,2023-01-07,Returned,456 Oak St,2023-01-05 15:22:01
1006,TRK1006,2023-01-05,2023-01-07,Delivered,202 Birch Rd,2023-01-05 05:00:23
1007,TRK1007,2023-01-05,2023-01-06,Out for Delivery,456 Oak St,2023-01-05 16:31:51
1008,TRK1008,2023-01-05,2023-01-09,Returned,123 Elm St,2023-01-05 03:58:28
1009,TRK1009,2023-01-05,2023-01-08,Out for Delivery,789 Pine St,2023-01-05 04:55:26
1010,TRK1010,2023-01-05,2023-01-08,Out for Delivery,202 Birch Rd,2023-01-05 11:54:30
1011,TRK1011,2023-01-05,2023-01-10,Returned,202 Birch Rd,2023-01-05 03:17:10
1012,TRK1012,2023-01-05,2023-01-06,Out for Delivery,202 Birch Rd,2023-01-05 03:25:43
1013,TRK1013,2023-01-05,2023-01-07,Returned,456 Oak St,2023-01-05 10:17:43
1014,TRK1014,2023-01-05,2023-01-10,Returned,789 Pine St,2023-01-05 16:50:16
1015,TRK1015,2023-01-05,2023-01-09,Out for Delivery,202 Birch Rd,2023-01-05 22:44:28
1016,TRK1016,2023-01-05,2023-01-07,Returned,456 Oak St,2023-01-05 11:30:09
1017,TRK1017,2023-01-05,2023-01-10,Returned,101 Maple Ave,2023-01-05 23:17:40
