order_num,tracking_num,pck_recieved_date,package_deliver_date,status,address,last_update_timestamp
1019,TRK1019,03-01-2023,05-01-2023,xyz,789 Pine St,03-01-2023 20:29
1020,TRK1020,03-01-2023,07-01-2023,Returned,202 Birch Rd,03-01-2023 20:02
1021,TRK1021,03-01-2023,04-01-2023,Delivered,202 Birch Rd,03-01-2023 17:11
1000,TRK1000,04-01-2023,07-01-2023,In Transit,456 Oak St,04-01-2023 04:52
1001,TRK1001,04-01-2023,07-01-2023,In Transit,789 Pine St,04-01-2023 00:27
1002,TRK1002,04-01-2023,07-01-2023,Delivered,101 Maple Ave,04-01-2023 19:19
1003,TRK1003,04-01-2023,08-01-2023,Out for Delivery,101 Maple Ave,04-01-2023 03:52
1004,TRK1004,04-01-2023,06-01-2023,Delayed,123 Elm St,04-01-2023 00:00
1005,TRK1005,04-01-2023,07-01-2023,Out for Delivery,101 Maple Ave,04-01-2023 12:59
1006,TRK1006,04-01-2023,05-01-2023,Returned,202 Birch Rd,04-01-2023 17:51
1007,TRK1007,04-01-2023,09-01-2023,In Transit,123 Elm St,04-01-2023 12:13
1008,TRK1008,04-01-2023,05-01-2023,Delivered,202 Birch Rd,04-01-2023 19:52
1009,TRK1009,04-01-2023,09-01-2023,Delivered,202 Birch Rd,04-01-2023 20:51
1010,TRK1010,04-01-2023,08-01-2023,In Transit,789 Pine St,04-01-2023 08:53
1011,TRK1011,04-01-2023,09-01-2023,Delivered,789 Pine St,04-01-2023 05:26
1012,TRK1012,04-01-2023,09-01-2023,In Transit,202 Birch Rd,04-01-2023 01:50
1013,TRK1013,04-01-2023,05-01-2023,Delivered,789 Pine St,04-01-2023 16:12
1014,TRK1014,04-01-2023,08-01-2023,Delivered,789 Pine St,04-01-2023 16:57
1015,TRK1015,04-01-2023,09-01-2023,Delayed,789 Pine St,04-01-2023 18:56
1016,TRK1016,04-01-2023,05-01-2023,Delivered,789 Pine St,04-01-2023 10:59
1017,TRK1017,04-01-2023,06-01-2023,Delivered,202 Birch Rd,04-01-2023 16:17
1018,TRK1018,04-01-2023,07-01-2023,Returned,101 Maple Ave,04-01-2023 00:32
1019,TRK1019,04-01-2023,07-01-2023,Delivered,123 Elm St,04-01-2023 14:00
